
n ; porownania(c); przestawienia(s); c/n; s/n;
10;42.0;33.0;4.2;3.3;
20;120.0;101.0;6.0;5.05;
30;282.0;253.0;9.4;8.433333333333334;
40;413.0;374.0;10.325;9.35;
50;645.0;596.0;12.9;11.92;
60;996.0;937.0;16.6;15.616666666666667;
70;1403.0;1334.0;20.042857142857144;19.057142857142857;
80;1821.0;1742.0;22.7625;21.775;
90;2348.0;2259.0;26.08888888888889;25.1;
100;2667.0;2568.0;26.67;25.68;
110;2973.0;2864.0;27.027272727272727;26.036363636363635;
120;3780.0;3661.0;31.5;30.508333333333333;
130;4167.0;4038.0;32.05384615384615;31.06153846153846;
140;5121.0;4982.0;36.57857142857143;35.58571428571429;
150;5310.0;5161.0;35.4;34.406666666666666;
160;6872.0;6713.0;42.95;41.95625;
170;7542.0;7373.0;44.36470588235294;43.370588235294115;
180;7723.0;7544.0;42.90555555555556;41.91111111111111;
190;8893.0;8704.0;46.805263157894736;45.810526315789474;
200;9562.0;9363.0;47.81;46.815;

n ; porownania(c); przestawienia(s); c/n; s/n;
10;31.6;22.6;3.16;2.2600000000000002;
20;111.9;92.9;5.595000000000001;4.6450000000000005;
30;239.0;210.0;7.966666666666667;7.0;
40;423.5;384.5;10.5875;9.6125;
50;661.5;612.5;13.23;12.25;
60;968.0;909.0;16.133333333333333;15.15;
70;1237.6;1168.6;17.68;16.694285714285712;
80;1635.6;1556.6;20.445;19.4575;
90;2117.2;2028.2;23.52444444444444;22.535555555555558;
100;2561.9;2462.9;25.619;24.629;
110;3048.9;2939.9;27.71727272727273;26.726363636363637;
120;3699.4;3580.4;30.828333333333333;29.836666666666666;
130;4239.0;4110.0;32.60769230769231;31.615384615384617;
140;5037.8;4898.8;35.98428571428572;34.99142857142857;
150;5586.8;5437.8;37.245333333333335;36.252;
160;6591.3;6432.3;41.195625;40.201875;
170;7192.5;7023.5;42.30882352941177;41.31470588235294;
180;8265.1;8086.1;45.91722222222222;44.92277777777778;
190;9031.5;8842.5;47.53421052631579;46.53947368421053;
200;9962.2;9763.2;49.81100000000001;48.816;

n ; porownania(c); przestawienia(s); c/n; s/n;
10;30.66;21.66;3.066;2.166;
20;113.53;94.53;5.6765;4.7265;
30;241.1;212.1;8.036666666666667;7.069999999999999;
40;426.24;387.24;10.656;9.681000000000001;
50;652.13;603.13;13.0426;12.0626;
60;931.93;872.93;15.532166666666665;14.548833333333333;
70;1250.57;1181.57;17.865285714285715;16.879571428571428;
80;1642.07;1563.07;20.525875;19.538375;
90;2085.14;1996.14;23.16822222222222;22.179333333333336;
100;2552.06;2453.06;25.520599999999998;24.5306;
110;3072.0;2963.0;27.927272727272726;26.936363636363637;
120;3660.04;3541.04;30.500333333333334;29.508666666666667;
130;4297.79;4168.79;33.05992307692308;32.06761538461539;
140;5002.18;4863.18;35.72985714285714;34.737;
150;5673.86;5524.86;37.82573333333333;36.8324;
160;6467.09;6308.09;40.419312500000004;39.4255625;
170;7310.97;7141.97;43.00570588235294;42.01158823529412;
180;8210.66;8031.66;45.614777777777775;44.620333333333335;
190;9157.51;8968.51;48.19742105263158;47.202684210526314;
200;10166.45;9967.45;50.83225;49.837250000000004;
