
n ; porownania(c); przestawienia(s); c/n; s/n;
10;59.0;34.0;5.9;3.4;
20;151.0;88.0;7.55;4.4;
30;267.0;148.0;8.9;4.933333333333334;
40;383.0;216.0;9.575;5.4;
50;507.0;286.0;10.14;5.72;
60;633.0;356.0;10.55;5.933333333333334;
70;782.0;432.0;11.17142857142857;6.171428571428572;
80;920.0;512.0;11.5;6.4;
90;1072.0;592.0;11.911111111111111;6.5777777777777775;
100;1213.0;672.0;12.13;6.72;
110;1363.0;752.0;12.39090909090909;6.836363636363636;
120;1511.0;832.0;12.591666666666667;6.933333333333334;
130;1668.0;914.0;12.830769230769231;7.030769230769231;
140;1828.0;1004.0;13.057142857142857;7.171428571428572;
150;1986.0;1094.0;13.24;7.293333333333333;
160;2161.0;1184.0;13.50625;7.4;
170;2337.0;1274.0;13.74705882352941;7.4941176470588236;
180;2495.0;1364.0;13.86111111111111;7.5777777777777775;
190;2671.0;1454.0;14.057894736842105;7.652631578947369;
200;2833.0;1544.0;14.165;7.72;
1000;18649.0;9976.0;18.649;9.976;
2000;41347.0;21952.0;20.6735;10.976;
3000;65801.0;34904.0;21.933666666666667;11.634666666666666;
4000;90702.0;47904.0;22.6755;11.976;
5000;117048.0;61808.0;23.4096;12.3616;
6000;143567.0;75808.0;23.927833333333332;12.634666666666666;
7000;170506.0;89808.0;24.358;12.829714285714285;
8000;197443.0;103808.0;24.680375;12.976;
9000;225609.0;118616.0;25.067666666666668;13.179555555555556;
10000;254030.0;133616.0;25.403;13.3616;
11000;282603.0;148616.0;25.691181818181818;13.510545454545454;
12000;311336.0;163616.0;25.944666666666667;13.634666666666666;
13000;340087.0;178616.0;26.16053846153846;13.739692307692307;
14000;368910.0;193616.0;26.350714285714286;13.829714285714285;
15000;398048.0;208616.0;26.536533333333335;13.907733333333333;
16000;426928.0;223616.0;26.683;13.976;
17000;456625.0;239232.0;26.860294117647058;14.072470588235294;
18000;487092.0;255232.0;27.060666666666666;14.179555555555556;
19000;517601.0;271232.0;27.24215789473684;14.275368421052631;
20000;547987.0;287232.0;27.39935;14.3616;

n ; porownania(c); przestawienia(s); c/n; s/n;
10;56.6;34.0;5.66;3.4;
20;151.4;88.0;7.57;4.4;
30;259.6;148.0;8.653333333333334;4.933333333333334;
40;380.4;216.0;9.51;5.4;
50;507.4;286.0;10.148;5.72;
60;639.3;356.0;10.655;5.933333333333334;
70;773.9;432.0;11.055714285714286;6.171428571428572;
80;919.5;512.0;11.49375;6.4;
90;1066.7;592.0;11.852222222222222;6.5777777777777775;
100;1213.1;672.0;12.130999999999998;6.72;
110;1363.1;752.0;12.39181818181818;6.836363636363636;
120;1507.8;832.0;12.565;6.933333333333334;
130;1666.8;914.0;12.821538461538461;7.030769230769231;
140;1830.2;1004.0;13.072857142857144;7.171428571428572;
150;1997.5;1094.0;13.316666666666666;7.293333333333333;
160;2159.9;1184.0;13.499375;7.4;
170;2324.7;1274.0;13.67470588235294;7.4941176470588236;
180;2492.4;1364.0;13.846666666666668;7.5777777777777775;
190;2655.5;1454.0;13.976315789473684;7.652631578947369;
200;2823.6;1544.0;14.118;7.72;
1000;18682.3;9976.0;18.682299999999998;9.976;
2000;41349.0;21952.0;20.6745;10.976;
3000;65819.3;34904.0;21.939766666666667;11.634666666666666;
4000;90725.8;47904.0;22.68145;11.976;
5000;117048.8;61808.0;23.409760000000002;12.3616;
6000;143656.3;75808.0;23.942716666666666;12.634666666666666;
7000;170492.9;89808.0;24.35612857142857;12.829714285714285;
8000;197451.7;103808.0;24.681462500000002;12.976;
9000;225599.9;118616.0;25.066655555555556;13.179555555555556;
10000;254051.5;133616.0;25.40515;13.3616;
11000;282658.5;148616.0;25.696227272727274;13.510545454545454;
12000;311276.9;163616.0;25.93974166666667;13.634666666666666;
13000;340102.2;178616.0;26.161707692307694;13.739692307692307;
14000;368940.9;193616.0;26.35292142857143;13.829714285714285;
15000;397933.8;208616.0;26.52892;13.907733333333333;
16000;426889.8;223616.0;26.6806125;13.976;
17000;456752.0;239232.0;26.867764705882355;14.072470588235294;
18000;487165.7;255232.0;27.06476111111111;14.179555555555556;
19000;517652.5;271232.0;27.244868421052633;14.275368421052631;
20000;548112.4;287232.0;27.405620000000003;14.3616;

n ; porownania(c); przestawienia(s); c/n; s/n;
10;56.69;34.0;5.669;3.4;
20;151.67;88.0;7.583499999999999;4.4;
30;259.83;148.0;8.661;4.933333333333334;
40;381.46;216.0;9.5365;5.4;
50;507.72;286.0;10.1544;5.72;
60;636.9;356.0;10.615;5.933333333333334;
70;775.47;432.0;11.078142857142858;6.171428571428572;
80;919.8;512.0;11.497499999999999;6.4;
90;1065.88;592.0;11.843111111111112;6.5777777777777775;
100;1214.0;672.0;12.14;6.72;
110;1363.05;752.0;12.391363636363636;6.836363636363636;
120;1511.65;832.0;12.597083333333334;6.933333333333334;
130;1664.58;914.0;12.804461538461538;7.030769230769231;
140;1828.14;1004.0;13.058142857142858;7.171428571428572;
150;1993.82;1094.0;13.292133333333332;7.293333333333333;
160;2158.54;1184.0;13.490874999999999;7.4;
170;2325.36;1274.0;13.678588235294118;7.4941176470588236;
180;2491.85;1364.0;13.84361111111111;7.5777777777777775;
190;2657.87;1454.0;13.98878947368421;7.652631578947369;
200;2826.36;1544.0;14.1318;7.72;
1000;18682.66;9976.0;18.68266;9.976;
2000;41364.17;21952.0;20.682085;10.976;
3000;65825.95;34904.0;21.941983333333333;11.634666666666666;
4000;90723.83;47904.0;22.6809575;11.976;
5000;117031.18;61808.0;23.406236;12.3616;
6000;143646.64;75808.0;23.94110666666667;12.634666666666666;
7000;170489.32;89808.0;24.355617142857145;12.829714285714285;
8000;197448.47;103808.0;24.681058750000002;12.976;
9000;225592.41;118616.0;25.065823333333334;13.179555555555556;
10000;254079.09;133616.0;25.407909;13.3616;
11000;282640.77;148616.0;25.694615454545456;13.510545454545454;
12000;311288.83;163616.0;25.940735833333335;13.634666666666666;
13000;340085.58;178616.0;26.160429230769232;13.739692307692307;
14000;368964.2;193616.0;26.354585714285715;13.829714285714285;
15000;397910.54;208616.0;26.527369333333333;13.907733333333333;
16000;426890.31;223616.0;26.680644375;13.976;
17000;456776.54;239232.0;26.869208235294117;14.072470588235294;
18000;487189.67;255232.0;27.066092777777776;14.179555555555556;
19000;517655.43;271232.0;27.245022631578948;14.275368421052631;
20000;548141.17;287232.0;27.4070585;14.3616;
