
n ; porownania(c); przestawienia(s); c/n; s/n;
10;35.0;19.0;3.5;1.9;
20;183.0;90.0;9.15;4.5;
30;198.0;95.0;6.6;3.1666666666666665;
40;315.0;122.0;7.875;3.05;
50;373.0;159.0;7.46;3.18;
60;483.0;210.0;8.05;3.5;
70;593.0;265.0;8.471428571428572;3.7857142857142856;
80;667.0;295.0;8.3375;3.6875;
90;926.0;400.0;10.28888888888889;4.444444444444445;
100;913.0;383.0;9.13;3.83;
110;971.0;383.0;8.827272727272728;3.481818181818182;
120;1175.0;493.0;9.791666666666666;4.108333333333333;
130;1315.0;565.0;10.115384615384615;4.346153846153846;
140;1645.0;704.0;11.75;5.0285714285714285;
150;1632.0;640.0;10.88;4.266666666666667;
160;1557.0;623.0;9.73125;3.89375;
170;1840.0;720.0;10.823529411764707;4.235294117647059;
180;2207.0;920.0;12.261111111111111;5.111111111111111;
190;2276.0;934.0;11.978947368421053;4.91578947368421;
200;2474.0;941.0;12.37;4.705;
1000;16892.0;5947.0;16.892;5.947;
2000;35267.0;13068.0;17.6335;6.534;
3000;59579.0;22181.0;19.859666666666666;7.393666666666666;
4000;83747.0;31700.0;20.93675;7.925;
5000;105317.0;40345.0;21.0634;8.069;
6000;131348.0;49108.0;21.891333333333332;8.184666666666667;
7000;147961.0;52426.0;21.137285714285714;7.489428571428571;
8000;185766.0;72134.0;23.22075;9.01675;
9000;197839.0;72019.0;21.98211111111111;8.00211111111111;
10000;219790.0;79986.0;21.979;7.9986;
11000;273514.0;104591.0;24.86490909090909;9.508272727272727;
12000;280197.0;103822.0;23.34975;8.651833333333334;
13000;306064.0;113584.0;23.543384615384614;8.73723076923077;
14000;363405.0;139109.0;25.9575;9.936357142857142;
15000;381384.0;145091.0;25.4256;9.672733333333333;
16000;416944.0;150301.0;26.059;9.3938125;
17000;435087.0;159005.0;25.59335294117647;9.353235294117647;
18000;469784.0;177560.0;26.09911111111111;9.864444444444445;
19000;486613.0;166550.0;25.61121052631579;8.76578947368421;
20000;501315.0;178480.0;25.06575;8.924;

n ; porownania(c); przestawienia(s); c/n; s/n;
10;36.5;19.1;3.65;1.9100000000000001;
20;103.2;46.5;5.16;2.325;
30;210.3;92.3;7.010000000000001;3.0766666666666667;
40;279.9;121.8;6.9975;3.045;
50;422.2;190.2;8.443999999999999;3.804;
60;509.5;214.7;8.491666666666667;3.578333333333333;
70;619.6;260.2;8.851428571428572;3.717142857142857;
80;726.0;314.2;9.075;3.9274999999999998;
90;794.6;319.8;8.828888888888889;3.5533333333333337;
100;1013.2;415.8;10.132;4.158;
110;1128.4;444.9;10.25818181818182;4.044545454545454;
120;1189.5;472.7;9.9125;3.9391666666666665;
130;1422.3;570.2;10.94076923076923;4.386153846153847;
140;1523.4;593.8;10.881428571428572;4.241428571428571;
150;1625.6;647.6;10.837333333333333;4.317333333333334;
160;1756.5;695.1;10.978125;4.344375;
170;2014.4;806.0;11.849411764705883;4.741176470588235;
180;2092.0;806.2;11.622222222222222;4.478888888888889;
190;2116.3;851.9;11.13842105263158;4.483684210526316;
200;2410.7;950.5;12.0535;4.7525;
1000;16485.0;6265.5;16.485;6.2655;
2000;37383.7;13822.0;18.69185;6.911;
3000;58772.8;21867.8;19.590933333333336;7.289266666666666;
