
n ; porownania(c); przestawienia(s); c/n; s/n;
10;29.0;20.0;2.9;2.0;
20;74.0;39.0;3.7;1.95;
30;145.0;80.0;4.833333333333333;2.6666666666666665;
40;210.0;97.0;5.25;2.425;
50;314.0;156.0;6.28;3.12;
60;453.0;185.0;7.55;3.0833333333333335;
70;483.0;207.0;6.9;2.9571428571428573;
80;574.0;253.0;7.175;3.1625;
90;679.0;280.0;7.544444444444444;3.111111111111111;
100;900.0;388.0;9.0;3.88;
110;944.0;323.0;8.581818181818182;2.9363636363636365;
120;1070.0;459.0;8.916666666666666;3.825;
130;1181.0;494.0;9.084615384615384;3.8;
140;1304.0;556.0;9.314285714285715;3.9714285714285715;
150;1576.0;717.0;10.506666666666666;4.78;
160;1453.0;605.0;9.08125;3.78125;
170;1803.0;820.0;10.605882352941176;4.823529411764706;
180;1666.0;676.0;9.255555555555556;3.7555555555555555;
190;1883.0;778.0;9.910526315789474;4.094736842105263;
200;2000.0;899.0;10.0;4.495;
1000;14737.0;5683.0;14.737;5.683;
2000;30661.0;10311.0;15.3305;5.1555;
3000;51659.0;19864.0;17.219666666666665;6.621333333333333;
4000;71105.0;26951.0;17.77625;6.73775;
5000;89961.0;31790.0;17.9922;6.358;
6000;109766.0;39312.0;18.294333333333334;6.552;
7000;138364.0;46382.0;19.766285714285715;6.626;
8000;171893.0;64006.0;21.486625;8.00075;
9000;174681.0;61318.0;19.409;6.813111111111111;
10000;206894.0;75511.0;20.6894;7.5511;
11000;229645.0;75974.0;20.87681818181818;6.906727272727273;
12000;244975.0;87360.0;20.414583333333333;7.28;
13000;260266.0;93639.0;20.02046153846154;7.203;
14000;292383.0;104854.0;20.8845;7.489571428571429;
15000;305998.0;109263.0;20.399866666666668;7.2842;
16000;335025.0;110448.0;20.9390625;6.903;
17000;359762.0;131675.0;21.162470588235294;7.745588235294117;
18000;401184.0;148157.0;22.288;8.230944444444445;
19000;419406.0;152409.0;22.074;8.021526315789474;
20000;440898.0;149745.0;22.0449;7.48725;

n ; porownania(c); przestawienia(s); c/n; s/n;
10;30.6;19.0;3.06;1.9;
20;92.2;48.1;4.61;2.4050000000000002;
30;163.0;74.2;5.433333333333334;2.4733333333333336;
40;245.9;111.0;6.1475;2.775;
50;323.7;149.4;6.474;2.988;
60;420.5;176.5;7.008333333333334;2.941666666666667;
70;514.8;228.7;7.354285714285713;3.267142857142857;
80;631.1;270.8;7.88875;3.3850000000000002;
90;729.0;316.1;8.1;3.5122222222222224;
100;835.1;358.9;8.351;3.589;
110;970.0;399.7;8.818181818181818;3.6336363636363633;
120;1038.9;422.6;8.6575;3.521666666666667;
130;1122.0;459.3;8.63076923076923;3.5330769230769232;
140;1283.2;529.4;9.165714285714285;3.781428571428571;
150;1395.1;587.3;9.300666666666666;3.915333333333333;
160;1488.6;581.1;9.303749999999999;3.631875;
170;1621.9;660.5;9.540588235294118;3.885294117647059;
180;1707.4;674.7;9.485555555555557;3.7483333333333335;
190;1813.9;712.7;9.546842105263158;3.7510526315789474;
200;2053.4;797.8;10.267000000000001;3.989;
1000;14097.4;5320.6;14.0974;5.320600000000001;
2000;31406.6;11465.7;15.703299999999999;5.73285;
3000;49482.3;17763.9;16.4941;5.9213000000000005;
4000;70374.7;25419.2;17.593674999999998;6.3548;
5000;92548.7;33428.0;18.50974;6.6856;
6000;113532.7;40736.5;18.922116666666668;6.789416666666667;
7000;133736.9;48184.6;19.105271428571427;6.883514285714286;
8000;152959.1;54715.0;19.1198875;6.839375;
9000;180956.3;66576.0;20.106255555555553;7.397333333333333;
10000;201769.6;72150.1;20.17696;7.21501;
11000;226577.9;79556.6;20.597990909090907;7.232418181818183;
12000;244252.5;84045.6;20.354375;7.003800000000001;
13000;265779.0;92881.3;20.44453846153846;7.144715384615385;
14000;290589.3;102163.3;20.75637857142857;7.297378571428571;
15000;315206.9;111700.3;21.013793333333336;7.4466866666666665;
16000;340659.4;117660.4;21.2912125;7.353775;
17000;361507.2;126979.7;21.265129411764708;7.469394117647059;
18000;391067.9;138189.7;21.725994444444446;7.677205555555556;
19000;411299.0;145572.2;21.647315789473684;7.661694736842106;
20000;432038.4;147845.5;21.60192;7.392275;

