
n ; porownania(c); przestawienia(s); c/n; s/n;
100;211.15;242.03;2.1115;2.4203;
200;375.86;417.7;1.8793;2.0885;
300;568.11;629.97;1.8937;2.0999;
400;764.61;837.41;1.9115250000000001;2.093525;
500;887.15;957.05;1.7743;1.9141;
600;1025.5;1100.5;1.7091666666666667;1.8341666666666667;
700;1241.25;1334.06;1.7732142857142856;1.9058;
800;1446.33;1554.01;1.8079124999999998;1.9425125;
900;1643.25;1754.96;1.8258333333333334;1.9499555555555557;
1000;1715.49;1816.36;1.71549;1.81636;
1100;1834.94;1936.64;1.6681272727272727;1.7605818181818182;
1200;2002.97;2106.76;1.6691416666666667;1.7556333333333336;
1300;2348.75;2496.48;1.8067307692307693;1.9203692307692308;
1400;2549.14;2701.2;1.8208142857142857;1.9294285714285713;
1500;2653.85;2814.64;1.7692333333333332;1.8764266666666667;
1600;2731.27;2868.7;1.70704375;1.7929374999999999;
1700;2929.1;3074.3;1.7229999999999999;1.8084117647058824;
1800;3188.83;3347.61;1.771572222222222;1.8597833333333333;
1900;3225.97;3380.97;1.697878947368421;1.779457894736842;
2000;3397.38;3559.32;1.69869;1.77966;
2100;3647.99;3820.64;1.737138095238095;1.8193523809523808;
2200;3654.58;3806.27;1.6611727272727272;1.7301227272727273;
2300;3933.22;4112.03;1.710095652173913;1.7878391304347825;
2400;4041.99;4226.35;1.6841625;1.7609791666666668;
2500;4193.82;4378.14;1.677528;1.7512560000000001;
2600;4297.25;4478.37;1.6527884615384616;1.72245;
2700;4459.74;4638.38;1.6517555555555554;1.7179185185185186;
2800;4787.05;5004.2;1.7096607142857143;1.7872142857142856;
2900;4877.35;5078.16;1.681844827586207;1.7510896551724138;
3000;5050.17;5255.13;1.68339;1.75171;
3100;5119.6;5314.18;1.651483870967742;1.714251612903226;
3200;5444.46;5668.63;1.70139375;1.771446875;
3300;5679.19;5909.92;1.7209666666666665;1.7908848484848485;
3400;5703.14;5923.72;1.6773941176470588;1.7422705882352942;
3500;5889.57;6110.41;1.6827342857142857;1.7458314285714285;
3600;6223.56;6480.74;1.7287666666666668;1.8002055555555554;
3700;6034.39;6224.61;1.6309162162162163;1.682327027027027;
3800;6446.69;6692.91;1.6964973684210525;1.7612921052631578;
3900;6614.4;6857.93;1.696;1.7584435897435897;
4000;6815.04;7065.8;1.70376;1.76645;
4100;6774.5;7014.0;1.6523170731707317;1.7107317073170731;
4200;6828.98;7033.45;1.625947619047619;1.6746309523809524;
4300;7088.14;7311.9;1.6484046511627908;1.7004418604651161;
4400;7332.3;7574.51;1.6664318181818183;1.7214795454545455;
4500;7478.67;7723.95;1.6619266666666668;1.7164333333333333;
4600;7665.62;7932.87;1.6664391304347825;1.7245369565217392;
4700;8143.09;8428.71;1.732572340425532;1.7933425531914893;
4800;8013.05;8271.44;1.6693854166666666;1.7232166666666668;
4900;8190.03;8468.12;1.671434693877551;1.728187755102041;
5000;8397.88;8687.19;1.6795759999999997;1.737438;
5100;8331.53;8592.44;1.6336333333333335;1.6847921568627453;
5200;9006.14;9333.32;1.7319499999999999;1.7948692307692307;
5300;8744.18;9011.77;1.649845283018868;1.7003339622641511;
5400;8893.1;9157.73;1.6468703703703704;1.695875925925926;
5500;9233.75;9545.47;1.6788636363636364;1.7355399999999999;
5600;9158.84;9433.82;1.6355071428571428;1.6846107142857143;
5700;9559.15;9856.76;1.6770438596491228;1.7292561403508773;
5800;9740.1;10052.07;1.6793275862068966;1.7331155172413792;
5900;9835.5;10133.0;1.6670338983050847;1.7174576271186441;
6000;9999.79;10307.8;1.6666316666666667;1.7179666666666666;
6100;9909.71;10195.4;1.6245426229508195;1.6713770491803277;
6200;10184.69;10485.52;1.6426919354838712;1.6912129032258065;
6300;10885.87;11257.29;1.7279158730158732;1.7868714285714287;
6400;10658.54;10997.3;1.665396875;1.718328125;
6500;11033.94;11378.58;1.697529230769231;1.7505507692307691;
6600;10754.27;11038.27;1.6294348484848487;1.6724651515151516;
6700;11113.04;11422.94;1.6586626865671643;1.704916417910448;
6800;11299.38;11625.64;1.6616735294117646;1.7096529411764705;
6900;11350.99;11660.93;1.6450710144927536;1.689989855072464;
7000;11961.11;12338.55;1.70873;1.7626499999999998;
7100;11706.5;12036.76;1.6488028169014084;1.6953183098591549;
7200;11898.77;12233.93;1.6526069444444444;1.6991569444444445;
7300;12145.97;12482.81;1.663831506849315;1.7099739726027396;
7400;12242.92;12567.4;1.6544486486486487;1.6982972972972972;
7500;12344.46;12679.84;1.6459279999999998;1.6906453333333333;
7600;13025.11;13432.01;1.7138302631578948;1.7673697368421053;
7700;12552.73;12881.29;1.6302246753246752;1.6728948051948054;
7800;13204.99;13599.98;1.692947435897436;1.7435871794871793;
7900;13205.06;13571.61;1.671526582278481;1.7179253164556962;
8000;13608.57;14019.68;1.70107125;1.7524600000000001;
8100;13114.72;13455.07;1.6191012345679012;1.6611197530864197;
