
n ; porownania(c); przestawienia(s); c/n; s/n;
100;100.23;110.41;1.0023;1.1040999999999999;
200;190.86;201.74;0.9543;1.0087000000000002;
300;322.32;335.14;1.0744;1.1171333333333333;
400;370.34;382.74;0.92585;0.95685;
500;497.59;510.63;0.99518;1.02126;
600;585.02;598.32;0.9750333333333333;0.9972000000000001;
700;745.65;759.43;1.0652142857142857;1.0849;
800;815.8;830.26;1.01975;1.037825;
900;963.22;977.5;1.0702444444444446;1.086111111111111;
1000;922.61;937.45;0.92261;0.93745;
1100;1042.42;1056.9;0.9476545454545455;0.9608181818181819;
1200;1156.9;1172.0;0.9640833333333334;0.9766666666666667;
1300;1291.0;1305.56;0.9930769230769231;1.004276923076923;
1400;1332.96;1347.8;0.9521142857142857;0.9627142857142856;
1500;1451.55;1466.71;0.9677;0.9778066666666667;
1600;1654.74;1670.02;1.0342125;1.0437625;
1700;1719.29;1735.19;1.0113470588235294;1.0207;
1800;2083.08;2100.12;1.1572666666666667;1.1667333333333332;
1900;1867.3;1883.34;0.9827894736842105;0.9912315789473684;
2000;1943.05;1958.27;0.971525;0.979135;
2100;2206.19;2222.31;1.0505666666666666;1.058242857142857;
2200;2154.51;2169.83;0.9793227272727274;0.9862863636363636;
2300;2361.4;2378.38;1.026695652173913;1.0340782608695653;
2400;2354.63;2370.39;0.9810958333333334;0.9876625;
2500;2737.66;2753.56;1.095064;1.101424;
2600;2495.0;2511.0;0.9596153846153846;0.9657692307692308;
2700;2496.05;2511.67;0.924462962962963;0.9302481481481482;
2800;2733.97;2749.79;0.9764178571428571;0.9820678571428572;
2900;2965.3;2981.14;1.0225172413793104;1.0279793103448276;
3000;2934.16;2950.46;0.9780533333333333;0.9834866666666667;
3100;2954.8;2972.62;0.9531612903225807;0.9589096774193548;
3200;2933.21;2950.99;0.916628125;0.922184375;
3300;3713.4;3730.56;1.1252727272727272;1.1304727272727273;
3400;3430.76;3446.94;1.0090470588235294;1.0138058823529412;
3500;3559.93;3576.31;1.017122857142857;1.0218028571428572;
3600;3561.2;3577.44;0.9892222222222222;0.9937333333333334;
3700;3456.9;3475.1;0.9342972972972973;0.9392162162162162;
3800;3937.81;3955.83;1.0362657894736842;1.0410078947368422;
3900;3606.96;3622.78;0.9248615384615385;0.9289179487179487;
4000;4049.21;4067.19;1.0123025;1.0167975;
4100;4355.97;4373.57;1.0624317073170733;1.0667243902439023;
4200;3951.76;3968.96;0.9408952380952381;0.9449904761904762;
4300;4226.08;4243.42;0.9828093023255814;0.9868418604651163;
4400;4885.34;4902.94;1.1103045454545455;1.1143045454545453;
4500;4341.15;4358.35;0.9646999999999999;0.9685222222222223;
4600;4515.78;4532.92;0.981691304347826;0.9854173913043478;
4700;4322.83;4340.13;0.9197510638297872;0.9234319148936171;
4800;5137.46;5155.0;1.0703041666666666;1.0739583333333333;
4900;5221.77;5239.19;1.0656673469387756;1.0692224489795918;
5000;4950.74;4967.66;0.9901479999999999;0.993532;
5100;5240.17;5257.17;1.0274843137254903;1.0308176470588235;
5200;4798.74;4816.26;0.9228346153846153;0.9262038461538462;
5300;5051.32;5069.1;0.9530792452830188;0.956433962264151;
5400;5363.87;5381.09;0.9933092592592593;0.9964981481481482;
5500;5572.7;5590.38;1.0132181818181818;1.0164327272727274;
5600;5329.82;5348.46;0.9517535714285714;0.9550821428571429;
5700;5766.56;5785.1;1.0116771929824562;1.0149298245614036;
5800;5990.34;6008.68;1.0328172413793104;1.0359793103448276;
5900;5516.06;5533.46;0.9349254237288136;0.9378745762711864;
6000;5945.09;5963.01;0.9908483333333333;0.993835;
6100;5975.73;5993.17;0.9796278688524589;0.9824868852459017;
6200;5607.87;5626.73;0.9044951612903226;0.9075370967741935;
6300;6234.68;6253.06;0.9896317460317461;0.9925492063492064;
6400;6476.48;6496.08;1.01195;1.0150125;
6500;6460.95;6479.75;0.9939923076923076;0.9968846153846154;
6600;7040.83;7059.09;1.0667924242424243;1.0695590909090908;
6700;6748.25;6767.31;1.0072014925373134;1.0100462686567164;
6800;7575.18;7595.82;1.1139970588235295;1.1170323529411765;
6900;6287.96;6305.9;0.9112985507246377;0.9138985507246377;
7000;6354.25;6372.53;0.90775;0.9103614285714285;
7100;6990.73;7008.43;0.9846098591549295;0.9871028169014084;
7200;7485.9;7508.06;1.0397083333333332;1.0427861111111112;
7300;7684.32;7704.06;1.0526465753424656;1.0553506849315069;
