9
n ; porownania(c); przestawienia(s); c/n; s/n; czas;
100;172.96;190.92;1.7296;1.9091999999999998;1516;
200;319.23;345.2;1.5961500000000002;1.726;2695;
300;492.38;527.24;1.6412666666666667;1.7574666666666667;3836;
400;537.51;563.58;1.343775;1.4089500000000001;4000;
500;759.21;802.91;1.51842;1.60582;5584;
600;856.26;898.24;1.4271;1.4970666666666668;6112;
700;896.95;928.11;1.2813571428571429;1.3258714285714286;6293;
800;1104.69;1150.4;1.3808625;1.4380000000000002;7745;
900;1253.3;1302.09;1.3925555555555555;1.4467666666666665;8594;
1000;1389.75;1443.69;1.38975;1.4436900000000001;9720;
1100;1530.84;1579.72;1.3916727272727272;1.436109090909091;10005;
1200;1574.14;1621.53;1.3117833333333335;1.351275;9899;
1300;1771.82;1828.03;1.3629384615384614;1.406176923076923;11812;
1400;1846.26;1899.76;1.318757142857143;1.3569714285714285;11819;
1500;2076.14;2147.09;1.3840933333333332;1.4313933333333335;14044;
1600;2276.48;2347.25;1.4228;1.46703125;15486;
1700;2177.97;2236.52;1.2811588235294116;1.3155999999999999;14062;
1800;2466.4;2534.33;1.3702222222222222;1.407961111111111;16257;
1900;2669.26;2754.85;1.4048736842105265;1.4499210526315789;17743;
2000;2722.04;2803.56;1.36102;1.40178;18077;
2100;2951.56;3030.95;1.4055047619047618;1.4433095238095237;19448;
2200;3049.07;3137.95;1.3859409090909092;1.426340909090909;20163;
2300;3144.6;3230.27;1.3672173913043477;1.4044652173913044;20571;
2400;3129.82;3196.32;1.3040916666666666;1.3318;20065;
2500;3187.13;3253.62;1.274852;1.301448;20374;
2600;3454.46;3533.92;1.3286384615384617;1.3592;23326;
2700;3617.61;3699.61;1.3398555555555556;1.370225925925926;24281;
2800;3732.8;3818.9;1.3331428571428572;1.3638928571428572;23845;
2900;4043.95;4143.81;1.3944655172413793;1.4289;26695;
3000;4095.61;4204.76;1.3652033333333333;1.4015866666666668;27199;
3100;4136.59;4225.71;1.334383870967742;1.3631322580645162;27109;
3200;4334.43;4436.05;1.3545093750000001;1.386265625;28770;
3300;4397.58;4497.47;1.3326;1.362869696969697;29089;
3400;4552.92;4653.39;1.3390941176470588;1.368644117647059;29697;
3500;4780.58;4886.16;1.36588;1.3960457142857143;31708;
3600;4826.48;4924.52;1.3406888888888888;1.3679222222222223;31254;
3700;4796.17;4876.24;1.2962621621621622;1.3179027027027026;30390;
3800;4879.23;4976.73;1.284007894736842;1.309665789473684;32347;
3900;5342.09;5463.7;1.3697666666666668;1.400948717948718;35923;
4000;5538.22;5658.96;1.384555;1.41474;36731;
4100;5478.49;5584.37;1.3362170731707317;1.362041463414634;35284;
4200;5848.17;5971.65;1.3924214285714287;1.4218214285714286;38660;
4300;5797.63;5915.43;1.348286046511628;1.3756813953488374;37993;
4400;5895.59;6018.26;1.3399068181818181;1.3677863636363636;38922;
4500;6092.39;6218.42;1.3538644444444445;1.381871111111111;40046;
4600;5839.62;5940.74;1.269482608695652;1.2914652173913044;37433;
4700;6278.52;6394.79;1.3358553191489362;1.3605936170212767;41233;
4800;6323.67;6429.69;1.31743125;1.3395187499999999;41108;
4900;6604.58;6728.32;1.347873469387755;1.3731265306122449;43606;
5000;6565.79;6673.09;1.313158;1.334618;43396;
5100;6322.74;6408.09;1.2397529411764705;1.2564882352941176;40239;
5200;6980.65;7110.38;1.3424326923076921;1.3673807692307693;46047;
5300;7013.79;7134.04;1.3233566037735849;1.3460452830188678;45640;
5400;7308.68;7446.39;1.3534592592592594;1.378961111111111;48778;
5500;7603.81;7749.24;1.3825109090909091;1.4089527272727271;50331;
5600;7367.02;7483.64;1.3155392857142858;1.3363642857142857;48824;
5700;7525.35;7644.05;1.3202368421052633;1.341061403508772;49105;
5800;7733.29;7866.58;1.3333258620689654;1.3563068965517242;51444;
5900;7418.6;7530.35;1.2573898305084747;1.2763305084745764;47494;
6000;7917.83;8045.56;1.3196383333333332;1.3409266666666668;51948;
6100;8174.05;8298.21;1.3400081967213116;1.3603622950819672;53841;
6200;8100.2;8220.83;1.306483870967742;1.3259403225806452;53373;
6300;8045.22;8157.85;1.2770190476190477;1.2948968253968254;52451;
6400;8609.5;8753.86;1.345234375;1.367790625;55985;
6500;8745.1;8897.41;1.3454000000000002;1.3688323076923077;58020;
6600;8503.57;8625.49;1.2884196969696968;1.3068924242424242;55402;
6700;8825.97;8978.09;1.3173089552238806;1.3400134328358209;58415;
6800;8964.37;9107.48;1.318289705882353;1.339335294117647;59247;
6900;9065.86;9204.73;1.3138927536231886;1.33401884057971;60173;
7000;9205.64;9338.07;1.3150914285714286;1.33401;60460;
7100;9313.88;9433.77;1.311814084507042;1.3287;60103;
7200;8940.02;9053.3;1.2416694444444445;1.2574027777777776;57185;
7300;9667.16;9814.14;1.324268493150685;1.3444027397260274;62792;
7400;9611.79;9745.52;1.2988905405405407;1.3169621621621623;62506;
7500;9971.09;10130.63;1.3294786666666667;1.3507506666666667;66492;
7600;9806.82;9945.33;1.2903710526315788;1.308596052631579;63444;
7700;10171.21;10324.33;1.3209363636363636;1.3408220779220779;67274;
7800;10276.89;10431.39;1.31755;1.3373576923076922;69663;
7900;10312.99;10451.49;1.3054417721518987;1.3229734177215189;68108;
8000;10555.35;10720.4;1.31941875;1.34005;69979;
8100;11116.33;11294.1;1.3723864197530864;1.3943333333333334;74724;
8200;10911.99;11082.66;1.330730487804878;1.3515439024390243;73235;
8300;11038.4;11197.73;1.3299277108433734;1.3491240963855422;73607;
8400;11108.16;11262.1;1.3224;1.3407261904761905;73088;
8500;10713.26;10843.68;1.2603835294117647;1.2757270588235294;68619;
8600;11679.85;11849.46;1.3581220930232558;1.3778441860465116;79832;
8700;11481.19;11631.83;1.3196770114942529;1.3369919540229884;76661;
8800;11609.91;11774.84;1.3193079545454545;1.33805;77693;
8900;11339.55;11473.16;1.2741067415730336;1.2891191011235954;74988;
9000;11976.4;12153.59;1.3307111111111112;1.350398888888889;79604;
9100;12037.32;12207.55;1.3227824175824177;1.341489010989011;80683;
9200;11822.73;11971.86;1.285079347826087;1.3012891304347827;77265;
9300;11390.31;11501.06;1.2247645161290321;1.2366731182795698;71190;
9400;12324.82;12480.12;1.3111510638297872;1.327672340425532;81901;
9500;12474.7;12633.19;1.3131263157894737;1.3298094736842105;82877;
9600;12605.49;12765.37;1.3130718749999999;1.3297260416666667;83483;
9700;12805.79;12976.73;1.3201845360824742;1.3378072164948454;86072;
9800;12119.31;12252.31;1.2366642857142858;1.2502357142857143;77833;
9900;13144.41;13323.52;1.3277181818181818;1.3458101010101011;101819;
10000;12833.69;12970.88;1.283369;1.297088;82871;
