1 :D;
n ; porownania(c); przestawienia(s); c/n; s/n; czas;
1000;9.02;0.0;0.00902;0.0;985902;
2000;9.94;0.0;0.00497;0.0;1046949;
3000;10.04;0.0;0.003346666666666666;0.0;1783589;
4000;10.94;0.0;0.002735;0.0;1583399;
5000;10.94;0.0;0.002188;0.0;1274564;
6000;11.14;0.0;0.0018566666666666668;0.0;1445856;
7000;12.0;0.0;0.0017142857142857142;0.0;1442844;
8000;11.98;0.0;0.0014975000000000001;0.0;1647368;
9000;12.0;0.0;0.0013333333333333333;0.0;1723328;
10000;12.04;0.0;0.001204;0.0;2049301;
10 :D;
n ; porownania(c); przestawienia(s); c/n; s/n; czas;
1000;9.62;0.0;0.00962;0.0;198951;
2000;10.8;0.0;0.0054;0.0;384031;
3000;11.76;0.0;0.00392;0.0;575576;
4000;11.42;0.0;0.002855;0.0;767185;
5000;11.92;0.0;0.002384;0.0;1160502;
6000;12.16;0.0;0.0020266666666666666;0.0;1243847;
7000;12.52;0.0;0.0017885714285714284;0.0;1349744;
8000;12.58;0.0;0.0015725000000000001;0.0;1654613;
9000;13.1;0.0;0.0014555555555555554;0.0;1784454;
10000;12.8;0.0;0.00128;0.0;2047150;
100 :D;
n ; porownania(c); przestawienia(s); c/n; s/n; czas;
1000;14.1;0.0;0.0141;0.0;199482;
2000;14.0;0.0;0.007;0.0;385028;
3000;16.2;0.0;0.005399999999999999;0.0;577039;
4000;15.66;0.0;0.003915;0.0;766948;
5000;16.08;0.0;0.0032159999999999997;0.0;956816;
6000;16.66;0.0;0.002776666666666667;0.0;1148323;
7000;16.16;0.0;0.0023085714285714285;0.0;1353731;
8000;17.32;0.0;0.002165;0.0;1550276;
9000;18.46;0.0;0.002051111111111111;0.0;1875636;
10000;18.22;0.0;0.0018219999999999998;0.0;2041456;
1000 :D;
n ; porownania(c); przestawienia(s); c/n; s/n; czas;
1000;22.36;0.0;0.022359999999999998;0.0;193736;
2000;23.0;0.0;0.0115;0.0;377424;
3000;27.42;0.0;0.00914;0.0;569768;
4000;26.4;0.0;0.0066;0.0;763038;
5000;27.24;0.0;0.005448;0.0;947059;
6000;26.68;0.0;0.0044466666666666665;0.0;1272252;
7000;28.5;0.0;0.004071428571428571;0.0;1326500;
8000;26.6;0.0;0.0033250000000000003;0.0;1522848;
9000;26.62;0.0;0.002957777777777778;0.0;1816878;
10000;26.62;0.0;0.0026620000000000003;0.0;1920695;
1 :D;
n ; porownania(c); przestawienia(s); c/n; s/n; czas;
